Incident ID,Date, Confirmed Time,Estimated Time,Governorate,District,Area,Target,Main category,Sub-category,Air Raids,Naval,Fatalities ,Woman,Child,Injured ,Woman,Child
41,27/03/2015,2,Early-Morning,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,2,,0,0,0,0,0,0
42,27/03/2015,2,Early-Morning,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
43,27/03/2015,unkn,Early-Morning,Sanaa,Bani Hushaysh,Al-Khorafi,Al-Khorafi Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
44,27/03/2015,unkn,Early-Morning,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
45,27/03/2015,unkn,Early-Morning,Sanaa,Bani Matar,Al-Nabi Shu'ayb mountain,Radars Centre,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
46,27/03/2015,unkn,Early-Morning,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
47,27/03/2015,unkn,Early-Morning,Sanaa,Sanhan,Raymah Humaid,Raymah Humaid Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
48,27/03/2015,19,Evening,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
49,27/03/2015,19,Evening,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
50,27/03/2015,20,Evening,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
51,27/03/2015,8,Evening,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
52,27/03/2015,unkn,Night,Sanaa,Sanhan,Al-Sawad,48 hospital,Medical_Facility,Hospital,unkn,,3,0,0,14,0,0
53,27/03/2015,23,Night,Abyan,Zinjibar,Wadi Hassan ,Military Convoy,Military_Security_Target,Moving Target (weapons/fighters),1,,0,0,0,0,0,0
54,27/03/2015,unkn,Evening,Dhalie,Al-Dhalie,The City,Aboud Military Camp,Military_Security_Target,Military Site,2,,0,0,0,0,0,0
55,27/03/2015,unkn,Evening,Dhalie,Al-Dhalie,Al-Jarba'a,Al-Jarba'a Military Camp,Military_Security_Target,Military Site,2,,0,0,0,0,0,0
56,27/03/2015,unkn,Evening,Dhalie,Qatabah,Murays,Al-Sadrayn Military Camp,Military_Security_Target,Military Site,1,,0,0,0,0,0,0
57,27/03/2015,4,Early-Morning,Hudaydah,Al-Salif,Al-Salif port,Air Defence Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
58,27/03/2015,22,Night,Hudaydah,Al-Salif,-,Al-Salif port,Infrastructure,Transport,1,,0,0,0,0,0,0
59,27/03/2015,4,Early-Morning,Marib,Marib,Safer,49 Air Defence Battalion,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
60,27/03/2015,unkn,Midday,Marib,Majzar,Mas ,Mas Military Camp,Military_Security_Target,Military Site,2,,0,0,0,0,0,0
61,27/03/2015,unkn,Afternoon,Marib,Marib,Safer,Air Defence Military Site located near the Safer Oil Facility,Military_Security_Target,Military Site,unkn,,5,0,0,0,0,0
62,27/03/2015,2,Early-Morning,Saada,Shada'a,-,Unknown,Unknown,Unknown,unkn,,0,0,0,0,0,0
63,27/03/2015,4,Early-Morning,Saada,Kitaf Wa Al-Boqe'e,-,131st Infantry Brigade,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
64,27/03/2015,unkn,Morning,Saada,Kitaf Wa Al-Boqe'e,Al-Boqe'e,Al-Boqe'e Market,Civilian,Market place,unkn,,8,0,0,12,0,0
65,27/03/2015,unkn,Midday,Saada,Majz,Dhahyan,Unknown,Unknown,Unknown,unkn,,0,0,0,0,0,0
66,27/03/2015,unkn,Midday,Saada,Kitaf Wa Al-Boqe'e,Al-Salim,Unknown,Unknown,Unknown,unkn,,0,0,0,0,0,0
67,27/03/2015,17,Afternoon,Saada,Monabbih,Ozlat Al-Maswad,Civilian's house,Civilian,Residential Area,unkn,,1,1,0,5,0,0
68,28/03/2015,3,Early-Morning,Capital,Azal,Noqom,Weapons Storage,Military_Security_Target,Weapon storage,unkn,,0,0,0,0,0,0
69,28/03/2015,3,Early-Morning,Capital,Al-Wahdah,Hadda,Residence of former Presiden Ali Abdullah Saleh,Political_Tribal,Figure,unkn,,0,0,0,0,0,0
70,28/03/2015,4,Early-Morning,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
71,28/03/2015,unkn,Early-Morning,Capital,Ma'ain,Al-Sunainah,Aviation College,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
72,28/03/2015,19,Evening,Capital,Al-Thawrah,Al-Nahdhah,Former 1st Armoured Division,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
73,28/03/2015,24,Evening,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
74,28/03/2015,unkn,Evening,Capital,Al-Sab'ein,Al-Nahdain,Al-Nahdain Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
75,28/03/2015,2,Early-Morning,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,5,,0,0,0,0,0,0
76,28/03/2015,19,Evening,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
77,28/03/2015,19,Evening,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
78,28/03/2015,19,Evening,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
79,28/03/2015,23,Afternoon,Abyan,Khanfir,Shaqrah,115th Infantry Brigade,Military_Security_Target,Military Site,unkn,unkn,0,0,0,0,0,0
80,28/03/2015,unkn,Evening,Abyan,Zinjibar,Wadi Hassan ,Pro-Houthi forces,Military_Security_Target,Forces,unkn,unkn,0,0,0,0,0,0
81,28/03/2015,17,Afternoon,Amran,Qaflah Odhr,,Al-Qashlah Military Camp,Military_Security_Target,Military Site,3,,0,0,0,0,0,0
82,28/03/2015,1,Early-Morning,Dhamar,Mayfa'at  Ans,Samah,Samah Mlitary Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
83,28/03/2015,unkn,Night,Hajja,Abs,-,25th Mechanized Infantry Brigade,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
84,28/03/2015,19,Evening,Hudaydah,Al-Durayhimi,Al-Jabbanah,Al-Hudaydah Airport,Infrastructure,Transport,unkn,,0,0,0,0,0,0
85,28/03/2015,20,Evening,Hudaydah,Al-Durayhimi,Al-Jabbanah,"Military Airport, Air Defence forces, Radars",Military_Security_Target,Military Site,unkn,,1,0,0,20,0,0
